Unnamed: 0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-01-02,1516632,102100564,65.1,68.4,65.1,68.0,3.1,996
1,2020-01-03,843140,56672820,68.2,68.3,66.2,67.5,-0.5,620
2,2020-01-06,629451,41680826,65.7,66.9,65.6,66.2,-1.3,352
3,2020-01-07,455046,29775822,67.2,67.2,64.6,65.1,-1.1,308
4,2020-01-08,289082,18646221,64.6,65.5,64.0,64.3,-0.8,206
5,2020-01-09,292100,18986430,65.2,65.5,64.7,64.7,0.4,179
6,2020-01-10,164050,10660745,65.4,65.4,64.7,64.9,0.2,124
7,2020-01-13,225592,14823916,65.0,66.3,65.0,65.6,0.7,184
8,2020-01-14,525083,35182433,65.7,67.7,65.7,67.1,1.5,389
9,2020-01-15,1471769,100829250,67.1,69.2,67.1,68.9,1.8,1035
10,2020-01-16,863600,59766238,69.5,70.0,68.2,68.9,0.0,611
11,2020-01-17,320253,21942305,69.3,69.3,68.1,68.4,-0.5,238
12,2020-01-20,381010,26110883,68.5,69.4,67.7,68.0,-0.4,279
13,2020-01-30,779887,48581394,61.5,63.6,61.5,62.2,-5.8,534
14,2020-01-31,520017,32455358,62.8,63.2,61.6,62.2,0.0,377
0,2020-02-03,619591,36876313,60.5,60.8,58.3,60.5,-1.7,427
1,2020-02-04,310000,19183800,62.0,62.4,61.4,61.8,1.3,194
2,2020-02-05,414080,25940832,62.7,63.0,62.0,62.3,0.5,274
3,2020-02-06,694316,44696202,63.0,65.6,62.6,65.3,3.0,500
4,2020-02-07,456100,28949640,63.7,64.4,62.8,62.8,-2.5,355
5,2020-02-10,314594,19556597,60.6,63.4,60.6,63.2,0.4,270
6,2020-02-11,135108,8521604,63.7,63.7,62.6,63.0,-0.2,123
7,2020-02-12,161023,10244755,64.1,64.1,63.4,63.4,0.4,132
8,2020-02-13,199100,12760019,64.0,64.6,63.6,63.6,0.2,169
9,2020-02-14,109001,6961963,63.6,64.1,63.6,63.8,0.2,87
10,2020-02-17,152791,9728911,63.8,64.0,63.4,63.5,-0.3,141
