,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-01-02,2026345,73842547,36.3,36.85,36.0,36.35,0.5,1160
1,2020-01-03,2246714,80365520,36.75,36.85,35.3,35.6,-0.75,1223
2,2020-01-06,1638686,56835380,35.3,35.35,34.3,34.6,-1.0,928
3,2020-01-07,921630,31714970,34.6,35.0,34.05,34.1,-0.5,515
4,2020-01-08,891323,30066251,34.1,34.25,33.4,33.5,-0.6,511
5,2020-01-09,632442,21440744,33.5,34.2,33.5,33.8,0.3,401
6,2020-01-10,763434,25912227,34.15,34.2,33.75,33.75,-0.05,475
7,2020-01-13,3431984,122208518,33.85,36.2,33.85,36.1,2.35,2200
8,2020-01-14,1456880,52151686,36.15,36.2,35.55,35.65,-0.45,900
9,2020-01-15,2397355,86640344,35.8,36.65,35.55,35.6,-0.05,1417
10,2020-01-16,812667,29063858,35.9,35.95,35.6,35.7,0.1,485
11,2020-01-17,1267878,45548803,35.9,36.2,35.65,35.7,0.0,668
12,2020-01-20,964957,34577021,35.8,36.1,35.65,35.65,-0.05,561
13,2020-01-30,1989560,64178024,32.1,33.0,32.1,32.1,-3.55,1082
14,2020-01-31,1842707,58145379,32.05,32.8,30.85,31.5,-0.6,951
15,2020-02-03,1798312,52080970,30.0,30.0,28.35,29.15,-2.35,1041
16,2020-02-04,1272059,38321522,29.4,30.5,29.4,30.1,0.95,786
17,2020-02-05,875981,26456380,30.45,30.55,29.65,30.0,-0.1,549
18,2020-02-06,728479,22251954,30.2,30.85,30.2,30.6,0.6,461
19,2020-02-07,910860,27386603,30.6,30.6,29.9,29.9,-0.7,539
20,2020-02-10,735749,21634690,29.5,29.95,28.9,29.4,-0.5,498
21,2020-02-11,911133,27621242,30.2,30.8,30.05,30.2,0.8,586
22,2020-02-12,749295,22970452,30.8,30.8,30.4,30.65,0.45,474
23,2020-02-13,886664,27202849,30.75,31.1,30.2,30.7,0.05,566
24,2020-02-14,491546,15088221,30.8,30.8,30.3,30.65,-0.05,327
25,2020-02-17,333583,10146360,30.35,30.55,30.2,30.4,-0.25,250
26,2020-02-18,454857,13957573,30.4,31.0,30.4,30.75,0.35,328
27,2020-02-19,829216,25633829,30.9,31.25,30.55,30.75,0.0,426
28,2020-02-20,477826,14637913,30.8,30.95,30.5,30.5,-0.25,325
29,2020-02-21,784835,24119739,30.5,31.0,30.4,30.8,0.3,438
30,2020-02-24,693345,20958633,30.55,30.55,30.1,30.1,-0.7,408
31,2020-02-25,1452138,42935209,29.15,29.95,29.15,29.75,-0.35,702
32,2020-02-26,1082985,32608948,29.8,30.45,29.5,29.85,0.1,638
33,2020-02-27,1001663,29391141,29.95,30.2,28.75,28.75,-1.1,593
