,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-01-02,6237434,2758621262,445.0,446.0,440.5,441.5,-2.0,4171
1,2020-01-03,12375266,5364928476,445.0,445.5,423.0,434.5,-7.0,9265
2,2020-01-06,8520516,3632830840,428.0,431.5,424.0,424.0,-10.5,6039
3,2020-01-07,11707155,4982703572,428.0,431.0,418.0,426.0,2.0,7952
4,2020-01-08,9695448,4178143323,426.0,436.5,424.0,430.5,4.5,6606
5,2020-01-09,7061194,3077279278,435.0,439.0,432.5,437.0,6.5,4873
6,2020-01-10,7882248,3401903337,439.5,441.0,426.0,432.0,-5.0,5974
7,2020-01-13,10239998,4358608124,432.0,435.0,422.0,422.0,-10.0,8127
8,2020-01-14,19437055,8113096100,422.5,424.5,412.5,416.0,-6.0,12927
9,2020-01-15,26086092,10741727720,409.0,419.0,406.5,416.0,0.0,17129
10,2020-01-16,13075722,5495435494,419.0,423.5,415.0,421.0,5.0,8603
11,2020-01-17,8818316,3724242970,428.0,428.0,418.5,420.5,-0.5,5956
12,2020-01-20,6172773,2590427739,421.0,422.0,417.0,419.0,-1.5,4178
13,2020-01-30,22330256,8733286560,400.0,400.5,382.5,383.5,-35.5,14587
14,2020-01-31,10439123,4053010283,385.0,393.0,382.0,388.0,4.5,6604
15,2020-02-03,10641830,4039690053,376.5,387.0,373.0,382.0,-6.0,6696
16,2020-02-04,9511276,3714645692,384.0,396.5,384.0,390.5,8.5,6475
17,2020-02-05,16355382,6272530188,390.5,390.5,378.5,381.0,-9.5,11107
18,2020-02-06,10507866,4040943705,381.0,390.5,380.0,382.0,1.0,7266
19,2020-02-07,10226510,3905283810,380.5,385.5,379.0,381.0,-1.0,6890
20,2020-02-10,11049172,4211632204,377.5,386.5,375.0,380.0,-1.0,7215
21,2020-02-11,11384133,4418605620,382.0,391.5,382.0,390.0,10.0,7917
22,2020-02-12,13600808,5440307816,398.0,403.5,395.0,401.5,11.5,8503
23,2020-02-13,15526270,6348760210,408.5,412.0,406.5,408.5,7.0,8732
24,2020-02-14,9177582,3724845554,407.0,408.0,403.5,405.5,-3.0,6104
25,2020-02-17,9237824,3669593100,397.5,399.5,394.0,398.0,-7.5,6894
26,2020-02-18,7500223,2956294585,394.0,396.5,392.0,392.0,-6.0,5297
27,2020-02-19,9008260,3519298920,395.0,396.0,387.5,388.5,-3.5,6307
28,2020-02-20,8177571,3199218235,391.5,394.0,387.5,394.0,5.5,5293
29,2020-02-21,7800080,3038322028,394.0,394.0,388.0,388.0,-6.0,6438
30,2020-02-24,13117425,4973563735,382.5,384.5,376.0,377.0,-11.0,8825
31,2020-02-25,10230047,3865178360,374.5,383.0,371.0,378.5,1.5,7545
32,2020-02-26,10994144,4135433490,375.0,380.0,373.0,375.0,-3.5,7002
33,2020-02-27,14733370,5392264050,376.0,378.0,360.0,360.0,-15.0,9355
34,2020-03-02,11727602,4237999575,356.0,368.0,353.5,363.0,3.0,7845
35,2020-03-03,10014005,3747508875,373.0,378.5,371.0,372.0,9.0,6126
36,2020-03-04,10894688,4012499436,371.5,372.5,364.0,370.5,-1.5,5720
37,2020-03-05,11305601,4317208665,377.5,385.0,376.0,385.0,14.5,7410
38,2020-03-06,7682406,2914891650,380.0,382.5,376.5,378.5,-6.5,5211
39,2020-03-09,11652891,4271197888,368.5,371.0,361.0,366.5,-12.0,7613
40,2020-03-10,11832469,4357631145,363.5,373.5,362.0,373.5,7.0,7776
41,2020-03-11,9371669,3471915840,373.5,377.0,362.0,363.0,-10.5,6371
42,2020-03-12,19312208,6651230970,356.0,358.5,336.0,336.0,-27.0,12801
43,2020-03-13,23633277,7679822957,307.5,348.0,305.0,341.0,5.0,15128
44,2020-03-16,12157253,4020202713,333.0,342.5,320.0,320.0,-21.0,8087
45,2020-03-17,14400860,4580804120,308.0,328.5,308.0,315.5,-4.5,9491
46,2020-03-18,14131612,4441650824,315.5,321.5,301.5,301.5,-14.0,9639
47,2020-03-19,25712419,7248969225,291.0,298.5,273.0,274.0,-27.5,16966
48,2020-03-20,17586676,5245651976,296.0,301.0,287.0,301.0,27.0,8826
49,2020-03-23,21198004,6537935776,307.0,314.0,296.0,308.0,7.0,14232
50,2020-03-24,13447078,4486612738,336.0,338.5,326.0,330.0,22.0,8947
51,2020-03-25,20283591,6973782076,348.0,353.0,330.0,334.5,4.5,13754
52,2020-03-26,11554093,3906131492,339.0,345.0,328.0,343.5,9.0,8461
53,2020-03-27,13224545,4583620030,359.5,359.5,336.5,340.0,-3.5,9161
