,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,帳跌價差,成交筆數
0,2020-01-02,57729,390281,6.6,6.85,6.6,6.8,0.1,17
1,2020-01-03,53434,364390,6.79,6.88,6.79,6.85,0.05,19
2,2020-01-06,67000,451410,6.25,6.98,6.25,6.88,0.03,22
3,2020-01-07,110000,766440,6.7,7.08,6.7,6.91,0.03,37
4,2020-01-08,88478,611097,7.2,7.2,6.7,7.0,0.09,38
5,2020-01-09,26519,186308,7.03,7.1,7.0,7.04,0.04,17
6,2020-01-10,27030,190117,7.0,7.15,7.0,7.05,0.01,14
7,2020-01-13,54356,381187,7.07,7.07,6.97,7.03,-0.02,20
8,2020-01-14,90999,639883,7.02,7.05,7.02,7.02,-0.01,30
9,2020-01-15,98999,692282,7.01,7.12,6.8,7.12,0.1,29
10,2020-01-16,79079,560614,7.0,7.15,7.0,7.13,0.01,37
11,2020-01-17,76042,534064,7.12,7.12,7.01,7.02,-0.11,21
12,2020-01-20,91143,641055,7.03,7.1,7.0,7.03,0.01,28
13,2020-01-30,92276,646646,7.03,7.1,6.9,7.0,-0.03,26
14,2020-01-31,66456,474630,7.01,7.3,7.01,7.1,0.1,34
15,2020-02-03,15393,103865,6.4,7.09,6.4,7.09,-0.01,15
16,2020-02-04,39390,278863,6.99,7.38,6.99,7.11,0.02,20
17,2020-02-05,11000,77310,7.02,7.11,7.02,7.11,0.0,2
18,2020-02-06,50000,359100,7.28,7.28,7.05,7.2,0.09,13
19,2020-02-07,7000,49850,7.1,7.13,7.1,7.13,-0.07,5
20,2020-02-10,35072,248742,7.1,7.11,7.0,7.11,-0.02,16
21,2020-02-11,142811,1019959,7.2,7.2,7.1,7.11,0.0,31
22,2020-02-12,49478,355851,7.1,7.25,7.1,7.13,0.02,13
23,2020-02-13,149092,1045139,7.12,7.12,6.95,7.01,-0.12,41
24,2020-02-14,43090,301680,7.0,7.03,7.0,7.03,0.02,12
25,2020-02-17,53434,374330,7.03,7.03,7.0,7.01,-0.02,14
26,2020-02-18,20098,142863,7.0,7.25,7.0,7.1,0.09,10
27,2020-02-19,38406,269964,7.03,7.03,7.02,7.03,-0.07,12
28,2020-02-20,33000,232330,7.05,7.05,7.04,7.04,0.01,11
29,2020-02-21,5000,35200,7.04,7.04,7.04,7.04,0.0,4
30,2020-02-24,4435,31001,6.81,7.09,6.81,7.09,0.05,5
31,2020-02-25,50604,345538,6.99,7.0,6.41,6.41,-0.68,22
32,2020-02-26,68784,480040,6.95,7.04,6.71,7.0,0.59,27
33,2020-02-27,23139,159899,6.78,7.04,6.78,7.02,0.02,12
34,2020-03-02,35000,245000,7.0,7.0,7.0,7.0,-0.02,6
35,2020-03-03,12000,82540,6.71,7.0,6.71,7.0,0.0,10
36,2020-03-04,16024,112168,7.0,7.0,7.0,7.0,0.0,7
37,2020-03-05,18000,126000,7.0,7.0,7.0,7.0,0.0,6
38,2020-03-06,24478,171259,7.0,7.0,7.0,7.0,0.0,7
39,2020-03-09,18379,128055,7.0,7.0,6.91,6.91,-0.09,6
40,2020-03-10,13784,93820,6.7,6.9,6.66,6.9,-0.01,10
41,2020-03-11,3956,26860,6.76,6.8,6.76,6.8,-0.1,5
42,2020-03-12,49000,314080,6.73,6.76,6.22,6.3,-0.5,24
43,2020-03-13,36883,217876,6.3,6.3,5.67,6.29,-0.01,22
44,2020-03-16,86784,543604,6.29,6.3,6.0,6.3,0.01,19
45,2020-03-17,118000,740810,6.29,6.3,6.2,6.21,-0.09,33
46,2020-03-18,122000,749960,6.21,6.21,5.7,5.7,-0.51,26
47,2020-03-19,79030,409587,5.4,5.86,5.13,5.86,0.16,37
48,2020-03-20,12000,66960,5.7,5.86,5.35,5.35,-0.51,6
49,2020-03-23,23027,119157,5.4,5.4,4.85,4.95,-0.4,9
50,2020-03-24,27001,126225,5.1,5.1,4.61,5.0,0.05,19
51,2020-03-25,37890,193551,4.98,5.37,4.77,5.37,0.37,17
52,2020-03-26,55525,316027,5.2,5.85,5.0,5.85,0.48,20
53,2020-03-27,15709,87177,5.85,6.0,5.36,5.36,-0.49,14
54,2020-03-30,2478,13219,5.36,5.36,5.36,5.36,0.0,4
55,2020-03-31,1410,7470,5.49,5.49,5.49,5.49,0.13,2
56,2020-04-01,26300,139387,5.2,5.49,5.2,5.3,-0.19,9
57,2020-04-06,77546,434616,5.14,5.83,5.13,5.83,0.53,23
58,2020-04-07,1000,6370,6.37,6.37,6.37,6.37,0.54,1
59,2020-04-08,25000,159250,6.37,6.37,6.37,6.37,0.0,9
60,2020-04-09,12999,76483,5.95,6.01,5.8,6.01,-0.36,9
61,2020-04-10,2061,12372,6.01,6.01,6.0,6.0,-0.01,4
62,2020-04-13,8000,46470,5.7,5.85,5.7,5.82,-0.18,6
63,2020-04-14,22047,127958,5.83,5.83,5.83,5.83,0.01,11
64,2020-04-15,9000,52200,5.8,5.8,5.8,5.8,-0.03,2
65,2020-04-16,14000,81400,5.8,6.0,5.7,6.0,0.2,5
66,2020-04-17,45943,275964,6.02,6.02,6.01,6.01,0.01,19
67,2020-04-20,248,1468,0.0,0.0,0.0,0.0,0.0,1
68,2020-04-21,9050,54288,6.03,6.03,5.9,6.0,0.0,5
69,2020-04-22,6044,36566,6.05,6.05,6.05,6.05,0.05,6
70,2020-04-23,1784,10315,5.8,5.8,5.8,5.8,-0.25,2
71,2020-04-24,1274,7134,0.0,0.0,0.0,0.0,0.0,3
72,2020-04-27,1000,5940,5.94,5.94,5.94,5.94,0.0,1
73,2020-04-28,4870,27569,5.41,6.0,5.41,5.8,-0.14,6
74,2020-04-29,5314,31382,5.8,5.93,5.8,5.93,0.13,6
75,2020-04-30,5100,30040,5.85,5.9,5.85,5.9,-0.03,5
76,2020-05-04,8000,48000,6.0,6.0,6.0,6.0,0.1,5
77,2020-05-05,478,2796,0.0,0.0,0.0,0.0,0.0,1
78,2020-05-06,4001,24096,6.02,6.03,6.02,6.03,0.0,5
79,2020-05-07,4224,23441,5.55,5.55,5.55,5.55,-0.48,6
80,2020-05-08,21000,123580,5.98,5.98,5.8,5.9,0.35,19
81,2020-05-11,13784,86177,6.3,6.3,6.25,6.25,0.35,9
82,2020-05-12,320,1958,0.0,0.0,0.0,0.0,0.0,1
83,2020-05-13,10035,63918,6.37,6.37,6.37,6.37,0.0,7
84,2020-05-14,8878,52422,5.9,5.93,5.9,5.93,-0.44,5
85,2020-05-15,45997,279662,6.48,6.48,6.0,6.0,0.07,18
86,2020-05-18,21999,139432,5.95,6.48,5.95,6.48,0.48,11
87,2020-05-19,26884,172295,6.45,6.45,6.4,6.4,-0.08,10
88,2020-05-20,3110,20515,6.8,6.8,6.25,6.25,-0.15,3
89,2020-05-21,20051,122376,6.1,6.15,6.1,6.15,-0.1,8
90,2020-05-22,36352,223519,6.15,6.15,6.15,6.15,0.0,12
91,2020-05-25,3,18,0.0,0.0,0.0,0.0,0.0,1
92,2020-05-26,24000,145110,6.2,6.2,6.0,6.07,0.0,6
93,2020-05-27,52578,320795,6.01,6.15,6.01,6.15,0.08,21
94,2020-05-28,23364,145125,6.15,6.15,6.15,6.15,0.0,18
95,2020-05-29,18478,114395,6.2,6.2,6.2,6.2,0.05,4
96,2020-06-01,55784,342578,6.2,6.2,6.0,6.0,-0.2,13
97,2020-06-02,52956,319750,6.0,6.05,6.0,6.05,0.05,32
98,2020-06-03,54187,326145,6.0,6.05,6.0,6.05,0.0,33
